日付,イベント数,会議室予約数,1Day利用者数,昼の天気,平均気温,曜日,月,コワーキングスペース入場者数
2020/6/1,0,8,1,1,19.7,0,6,50
2020/6/2,0,13,2,0,22,1,6,41
2020/6/3,0,10,1,0,20.1,2,6,49
2020/6/4,0,10,1,0,20.2,3,6,38
2020/6/5,0,10,1,0,21.9,4,6,43
2020/6/6,0,7,1,1,20.8,5,6,25
2020/6/7,0,7,1,0,17.9,6,6,23
2020/6/8,0,10,1,0,19.6,0,6,38
2020/6/9,0,12,1,0,21.2,1,6,38
2020/6/10,0,12,3,0,23.6,2,6,37
2020/6/11,0,12,1,1,24.9,3,6,44
2020/6/12,1,11,1,1,26.2,4,6,47
2020/6/13,0,7,1,1,22,5,6,23
2020/6/14,0,7,1,1,21.2,6,6,26
2020/6/15,0,12,1,0,25.2,0,6,40
2020/6/16,1,13,1,0,23.4,1,6,47
2020/6/17,0,11,1,0,21.8,2,6,38
2020/6/18,0,11,1,1,20.5,3,6,50
2020/6/19,0,15,1,2,20.5,4,6,67
2020/6/20,0,9,1,0,21.7,5,6,23
2020/6/21,0,7,1,0,18.9,6,6,23
2020/6/22,0,12,1,1,20.1,0,6,63
2020/6/23,0,6,1,1,20.8,1,6,64
2020/6/24,0,11,1,2,17.7,2,6,55
2020/6/25,0,16,2,2,17.4,3,6,69
2020/6/26,0,14,2,2,18.2,4,6,91
2020/6/27,1,16,1,1,22.2,5,6,77
2020/6/28,0,5,1,2,22.6,6,6,23
2020/6/29,0,10,1,0,21.7,0,6,56
2020/6/30,1,6,1,1,20.9,1,6,48
2020/7/1,0,4,2,1,23,2,7,70
2020/7/2,1,5,2,0,24.4,3,7,62
2020/7/3,0,5,0,1,21.7,4,7,65
2020/7/4,0,0,6,2,18.4,5,7,44
2020/7/5,0,1,1,1,19,6,7,40
2020/7/6,0,6,3,2,20.1,0,7,63
2020/7/7,0,9,3,2,23.5,1,7,65
2020/7/8,0,4,3,2,21.9,2,7,70
2020/7/9,0,4,3,1,23.5,3,7,54
2020/7/10,0,5,3,2,22.4,4,7,66
2020/7/11,0,1,3,1,22.3,5,7,41
2020/7/12,0,1,7,2,19.2,6,7,41
2020/7/13,0,6,4,1,18.3,0,7,57
2020/7/14,0,6,4,2,18.7,1,7,61
2020/7/15,0,6,5,2,17.8,2,7,56
2020/7/16,0,6,4,2,17.3,3,7,68
